open,high,low,close,volume,marketCap,timestamp
443,4823.3749753375,4938.7471614106,4813.4275111264,4927.2454020762,13074823653.616554,86897978736.31404,2019-05-02
444,5129.0962711226,5354.2338532703,5125.0685425139,5209.4990530145,16092175343.39091,92048411411.27911,2019-05-07
445,6412.5623957818,6679.946705977,6066.2746761936,6205.3827659038,24723821641.649544,109841520039.94708,2019-05-12
446,7059.0274842397,7096.3156771336,6304.8575343163,6578.514905007,26910519122.793343,116384896989.68275,2019-05-17
447,7125.1460460544,7164.8770386467,6826.7350856462,6884.5959733329,22137178129.219387,121850119819.27585,2019-05-22
448,7738.1399908768,7957.4558731974,7730.7510477897,7866.8710629734,24934051874.989178,139251238623.18503,2019-05-27
449,7659.6969334222,7705.9387593943,7577.2723519167,7650.9210355945,20090600620.09143,135695679660.20149,2019-06-01
450,6964.1654862776,7064.8366206262,6715.2208913273,6936.5703354059,17344088625.50473,123615926111.893,2019-06-06
451,7072.4135218184,7093.6870782508,6866.0208510314,6997.7141806078,15115701724.143702,124363015036.23994,2019-06-11
452,7873.3914322125,8313.6828708053,7849.4506723575,8017.5516974056,20792117537.41931,142276269204.97943,2019-06-16
453,8433.4820078536,8909.2844790654,8365.2348482867,8909.2844790654,18260456004.883556,159631275462.70612,2019-06-21
454,10361.6296011053,12134.1363148774,10342.316299294,11443.037910669,39679558578.18786,203617455970.53787,2019-06-26
455,9503.080437656,9870.4753390585,8938.9004810448,9376.392605914,25858006072.750465,165732990175.1661,2019-07-01
456,9776.6056797012,10346.7263235284,9776.6056797012,9979.5332452019,18776014577.31275,177634950205.46777,2019-07-06
457,10782.6395073888,10786.9997015484,9915.5956342418,10096.2941608679,25398713198.280647,179706759851.25766,2019-07-11
458,9675.9993242121,9806.8855319919,8422.5808975193,8452.7487871743,21445757598.753937,149987326082.4532,2019-07-16
459,9599.2223682798,9656.5441932878,9248.7697970767,9448.1379423887,15257694104.577707,168325475214.6808,2019-07-21
460,8803.6350474149,9110.8536567885,8742.5306060567,8892.6769077052,14200154535.343359,158683259476.31796,2019-07-25
461,8545.8426880285,8701.905772524,8472.4252760311,8610.6534791601,12411605489.922768,153888466918.90707,2019-07-30
462,9727.5658490469,9912.8770621533,9546.5681204531,9875.9083401839,14859621323.85931,176101589199.77856,2019-08-04
463,10685.7562809578,10699.8175693788,10449.0390620823,10516.3273566254,16394960664.344545,189481973393.4173,2019-08-09
464,9744.0769744841,9744.1388759961,8997.9450176076,9021.0524687041,17888101973.30383,160791815896.07858,2019-08-14
465,9331.3292583789,9849.5554070814,9300.5818300585,9849.5554070814,14459345567.864264,176022188261.7094,2019-08-19
466,9271.1294825783,9271.7464821328,8892.2300382826,9042.0804003699,13763778103.340393,161959583164.7162,2019-08-24
467,8801.8695766002,8801.8695766002,8503.1531219064,8598.3434955577,15377564280.161991,153609764127.87442,2019-08-29
